MSSA_COUNTY,MSSA_ID,MSSA_NAME,Total_Population,EST_Physicians,EST_FNPPA,EST_Providers,Provider_Ratio,Score_Provider_Ratio,Pop_100FPL,PCT_100FPL,Score_Poverty,Score_Total,PCSA,Effective Date
San Diego,161m,Carlton Hills/El Cajon North/Eucalyptus Hills/Lake Murray/Loma Portal/San Carlos/Santee,88373,28,11.6,36.7,2408,3,5908,0.067,1,4,No,1/30/2020
San Diego,161n,Civic Center/Coronado/Harbor Island/Imperial Beach East/Nestor West/Ocean Beach/Point Loma/Silver Strand,57933,40,19.5,54.7,1059.1,1,5791,0.1,1,2,No,1/30/2020
San Diego,161o,Allied Gardens/Del Cerro/Grantville/Miramar/Tierrasanta,88526,405,57.6,448.2,197.5,0,7779,0.088,1,1,No,1/30/2020
San Diego,161p,Carmel Valley/Del Dios/Escondido South/Fairbanks Ranch/Poway Southeast/Rancho Bernardo Southeast/Rancho Penasquitos,162226,131,26.5,150.9,1075.1,1,9008,0.056,1,2,No,1/30/2020
San Diego,161q,Poway Central/Poway Grove/Rancho Bernardo Southwest/Sabre Springs,81106,109,33.2,133.9,605.7,0,5063,0.062,1,1,No,1/30/2020
San Diego,161r,Crown Point/Del Mar/La Jolla/Pacific Beach,79727,342,112.6,426.4,187,0,7960,0.1,1,1,No,1/30/2020
San Diego,161s,Cockatoo Grove/Eastlake Greens/Otay Mesa,154686,82.5,34.9,108.7,1423.1,1,15980,0.103,2,3,No,1/30/2020
San Diego,161t,Bonita/Chula Vista East/Eastlake/La Presa/Lynwood Hills/Rancho del Rey/Sunnyside/Sunny Vista,97007,32.5,12.3,41.7,2326.3,3,8527,0.088,1,4,No,1/30/2020
San Diego,161u,Bostonia/Glenview/Granite Hills/Hillsdale/Johnstown/Lakeside/Riverview/Winter Gardens,88175,21,4,24,3674,5,11593,0.131,2,7,Yes,1/30/2020
San Diego,161v,Mira Mesa/Scripps Miramar Ranch,118493,87,23.9,104.9,1129.6,1,7465,0.063,1,2,No,1/30/2020
San Francisco,162a,Chinatown/Civic Center/Inner Mission/North Beach/South of Market/Tenderloin/Western Addition,115537,190,103.7,267.8,431.4,0,25628,0.222,4,4,No,1/30/2020
San Francisco,162b,Cow Hollow/Financial District/Marina/Nob Hill/Pacific Heights/Russian Hill/Seacliff,94756,382,105.5,461.1,205.5,0,7203,0.076,1,1,No,1/30/2020
San Francisco,162c,Bernal Heights/Mission District/Potrero Hill,116403,362,79.8,421.8,276,0,11350,0.098,1,1,No,1/30/2020
San Francisco,162d,Excelsior/Glen Park/Ingleside/Lake Merced/Merced Heights/Ocean Beach South/Park Merced/Saint Francis Wood/Westwood Park,133271,52,14.6,63,2115.4,3,14843,0.111,2,5,Yes,1/30/2020
San Francisco,162e,Golden Gate Park/Parkside/Sunset/West Portal,85091,56,15.3,67.5,1260.6,1,6622,0.078,1,2,No,1/30/2020
San Francisco,162f,Bayview/Candlestick/Hunters Point/Portola/Visitacion Valley,85577,23.5,4,26.5,3229.3,5,14036,0.164,3,8,Yes,1/30/2020
San Francisco,162g,Buena Vista/Castro/Eureka Valley/Forest Hill/Haight-Ashbury/Noe Valley/West of Twin Peaks,126483,802,93.7,872.3,145,0,10535,0.083,1,1,No,1/30/2020
San Francisco,162h,Laurel Heights/Ocean Beach North/Richmond/Sutro Heights,93429,270,45.8,304.4,306.9,0,8879,0.095,1,1,No,1/30/2020
San Joaquin,163,Tracy,108560,73.5,20.2,88.7,1223.9,1,8797,0.081,1,2,No,1/30/2020
San Joaquin,164.1,Lathrop/Manteca,87488,52.5,13.3,62.4,1402.1,1,10636,0.122,2,3,No,1/30/2020
San Joaquin,164.2,Banta/Escalon/Ripon/Vernalis,51802,15.5,5.3,19.4,2670.2,4,6247,0.121,2,6,Yes,1/30/2020
San Joaquin,165,Farmington/Linden,6215,1,0,1,6215,5,534,0.086,1,6,Yes,1/30/2020
San Joaquin,166,Lodi,67809,37.8,17.3,50.8,1334.8,1,11458,0.169,3,4,No,1/30/2020
San Joaquin,167,Lockeford/North Woodbridge,40455,0,0.7,0.5,80910,5,4710,0.116,2,7,Yes,1/30/2020
San Joaquin,168,South Woodbridge/Thornton,25731,1,2.3,2.7,9530,5,2448,0.095,1,6,Yes,1/30/2020
San Joaquin,169a,Stockton North Central/Stockton Northeast,99032,138.3,43.5,170.9,579.5,0,24901,0.251,5,5,Yes,1/30/2020
San Joaquin,169b,French Camp/Stockton South/Stockton Southeast,136198,84.5,29.4,106.6,1277.7,1,37832,0.278,5,6,Yes,1/30/2020
San Joaquin,169c,Stockton Northwest/Stockton West,87191,52.5,19.9,67.4,1293.6,1,13733,0.158,3,4,No,1/30/2020
San Luis Obispo,170,Atascadero/Templeton,38945,69.5,40.2,99.6,391,0,2776,0.071,1,1,No,1/30/2020
San Luis Obispo,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,83349,63.5,24.9,82.1,1015.2,1,7894,0.095,1,2,No,1/30/2020
San Luis Obispo,172,San Luis Obispo,54673,115,43.3,147.5,370.7,0,15938,0.292,5,5,Yes,1/30/2020
San Luis Obispo,173,El Paso de Robles/Lake Nacimiento/San Miguel/Shandon,49950,15,8.3,21.2,2356.1,3,5909,0.118,2,5,Yes,1/30/2020
San Luis Obispo,174,Baywood/Cambria/Cayucos/Morro Bay/Los Osos,37211,24.5,5,28.2,1319.5,1,3903,0.105,2,3,No,1/30/2020
San Mateo,175.1,El Granada/Half Moon Bay/Miramar/Montara/Moss Beach/Princeton by the Sea/Skyline,27517,18,5.3,22,1250.8,1,1433,0.052,1,2,No,1/30/2020
San Mateo,175.2,La Honda/Loma Mar/Pescadero/San Gregorio/Sky Londa,3946,0,0,0,,5,753,0.191,3,8,Yes,1/30/2020
San Mateo,175.3,Pacifica/Rockaway Beach/San Pedro Terrace/Sharp Park/Vallemar,38910,2,1,2.8,13896.4,5,1918,0.049,0,5,Yes,1/30/2020
San Mateo,176a,Brisbane/Burlingame Northeast/Colma/Daly City East/Millbrae East/San Bruno/South San Francisco,98105,85,16.9,97.7,1004.1,1,7374,0.075,1,2,No,1/30/2020
San Mateo,176b,East Menlo Park/East Palo Alto/North Fair Oaks/Redwood City East,80843,88,20.8,103.6,780.3,0,11661,0.144,2,2,No,1/30/2020
San Mateo,176c,Atherton/Lindenwood/Menlo Oaks/Menlo Park/Redwood City Central/Sharon Heights/West Menlo Park/Woodside/Woodside Hills,85411,120.5,23.9,138.4,617.1,0,6101,0.071,1,1,No,1/30/2020
San Mateo,176d,Broadmoor Village/Daly City West/San Bruno Northwest/Serramonte/Westborough,127359,126,25.9,145.4,875.9,0,9942,0.078,1,1,No,1/30/2020
San Mateo,176e,Burlingame Hills/Burlingame Southwest/Hillsborough/Hillsdale/Millbrae West/San Bruno Central/San Mateo West,101465,157.5,33.9,182.9,554.8,0,5168,0.051,1,1,No,1/30/2020
San Mateo,176f,Foster City/Redwood Shores/San Mateo East,97273,82,19.3,96.4,1009.1,1,7322,0.075,1,2,No,1/30/2020
San Mateo,176g,Belmont/Devonshire/Emerald Lake/Farm Hills/Palomar Park/San Carlos West/The Highlands,96435,75,18.9,89.2,1081.1,1,3309,0.034,0,1,No,1/30/2020
Santa Barbara,177,Carpinteria/New Cuyama/Summerland/Toro Canyon,18866,4,1.3,5,3773.2,5,1394,0.074,1,6,Yes,1/30/2020
Santa Barbara,178.1,Buellton/Los Olivos/Santa Ynez/Solvang,16673,20,2,21.5,775.5,0,1604,0.096,1,1,No,1/30/2020
Santa Barbara,178.2,Los Alamos,7163,3,3,5.3,1351.5,1,736,0.103,2,3,No,1/30/2020
Santa Barbara,179,Lompoc/Mission Hills/Vandenberg,56591,39.5,7.5,45.2,1252,1,9516,0.168,3,4,No,1/30/2020
Santa Barbara,180.1,Orcutt/Santa Maria,139442,117.5,40,147.5,945.4,0,21976,0.158,3,3,No,1/30/2020
Santa Barbara,180.2,Guadalupe,7581,1,2,2.5,3032.4,5,1223,0.161,3,8,Yes,1/30/2020
Santa Barbara,181a,Goleta South/Isla Vista/Santa Barbara South,93617,50,27.7,70.8,1322.3,1,22107,0.236,4,5,Yes,1/30/2020
Santa Barbara,181b,Goleta North/Mission Canyon/Montecito/Riviera/Santa Barbara North,84157,195,44.8,228.6,368.1,0,6937,0.082,1,1,No,1/30/2020
Santa Clara,182,Gilroy/Morgan Hill/Rucker/San Martin,118322,72,21.2,87.9,1346.1,1,10876,0.092,1,2,No,1/30/2020
Santa Clara,183a,Los Altos/Los Altos Hills/Palo Alto Central/Stanford,128262,886,246.3,1070.7,119.8,0,7213,0.056,1,1,No,1/30/2020
Santa Clara,183b,Berryessa/East San Jose/Milpitas East,128652,104.5,26.4,124.3,1035,1,10700,0.083,1,2,No,1/30/2020
Santa Clara,183c,Sunnyvale South,97454,71,18.9,85.2,1143.8,1,5720,0.059,1,2,No,1/30/2020
Santa Clara,183d,Downtown San Jose,79372,53,10.9,61.2,1296.9,1,16577,0.209,4,5,Yes,1/30/2020
Santa Clara,183e,Alum Rock South/San Jose East,132813,37,26.2,56.6,2346.5,3,19732,0.149,2,5,Yes,1/30/2020
Santa Clara,183f,Cupertino/Rancho Rinconada/San Jose West/Saratoga,115019,256,41.4,287.1,400.6,0,5315,0.046,0,0,No,1/30/2020
Santa Clara,183g,Cambrian Village East/San Jose South Central,120498,10,13.9,20.4,5906.8,5,7402,0.061,1,6,Yes,1/30/2020
Santa Clara,183h,San Jose Southeast,138680,56,11.3,64.5,2150.1,3,16884,0.122,2,5,Yes,1/30/2020
Santa Clara,183i,New Almaden/San Jose Southwest,110607,182,20.9,197.6,559.8,0,4867,0.044,0,0,No,1/30/2020
Santa Clara,183j,San Jose Northwest,94493,378,56.2,420.1,224.9,0,12386,0.131,2,2,No,1/30/2020
Santa Clara,183k,Evergreen/San Jose East Central,108913,22,6.6,27,4033.8,5,5820,0.053,1,6,Yes,1/30/2020
Santa Clara,183l,Alviso/Palo Alto Bayshore/Santa Clara Northwest/Sunnyvale North,132285,173,51.3,211.5,625.5,0,13271,0.1,2,2,No,1/30/2020
Santa Clara,183m,Cambrian Village West/Campbell South/Los Gatos/Monte Sereno/San Tomas,105129,263.5,43.3,295.9,355.3,0,5354,0.051,1,1,No,1/30/2020
Santa Clara,183n,Santa Clara South and West,129190,78,12.9,87.7,1473.1,1,8900,0.069,1,2,No,1/30/2020
Santa Clara,183o,Milpitas West/Santa Clara Northeast,141747,90.5,11.3,98.9,1433.2,1,11508,0.081,1,2,No,1/30/2020
Santa Cruz,184,Freedom/Watsonville,55777,60,21.1,75.8,735.8,0,8662,0.155,3,3,No,1/30/2020
Santa Cruz,185.1,Aptos/Capitola/Live Oak/Rio del Mar/Santa Cruz,115405,216,48.8,252.6,456.9,0,20944,0.181,3,3,No,1/30/2020
Santa Cruz,185.2,Davenport,4354,0,1,0.8,5442.5,5,542,0.124,2,7,Yes,1/30/2020
Santa Cruz,185.3,Ben Lomond/Felton/Scotts Valley,41624,34,10.3,41.7,998.2,0,3484,0.084,1,1,No,1/30/2020
Santa Cruz,185.4,Boulder Creek,15932,5,2,6.5,2451.1,3,1389,0.087,1,4,No,1/30/2020
Santa Cruz,185.5,Amesti/Corralitos/Day Valley/Interlaken/Pajaro Dunes,29212,4,0.7,4.5,6491.6,5,3584,0.123,2,7,Yes,1/30/2020
Shasta,186,Anderson/Cottonwood/French Gulch/Happy Valley/Igo/Ono/Platina/Shasta,33369,6,9.6,13.2,2528,4,6708,0.201,4,8,Yes,1/30/2020
Shasta,187,Castella/Lakehead/OGÇÖBrien,1451,0,0,0,,5,428,0.295,5,10,Yes,1/30/2020
Shasta,188.1,Big Bend/Montgomery Creek/Oak Run/Round Mountain,4693,0.5,3.3,3,1564.3,2,844,0.18,3,5,Yes,1/30/2020
Shasta,188.2,Manton/Millville/Shingletown/Viola,6195,0.5,1,1.3,4765.4,5,845,0.136,2,7,Yes,1/30/2020
Shasta,189.1,Palo Cedro,4338,0,0.7,0.5,8676,5,383,0.088,1,6,Yes,1/30/2020
Shasta,189.2,Redding,98006,60.5,81,121.3,808,0,17846,0.182,3,3,No,1/30/2020
Shasta,189.3,Bella Vista/City of Shasta Lake,20318,4,1.3,5,4063.6,5,3268,0.161,3,8,Yes,1/30/2020
Shasta,190,Burney/Cassel/Fall River Mills/Hat Creek/McArthur,7803,2,0.3,2.2,3546.8,5,1645,0.211,4,9,Yes,1/30/2020
Sierra,191,Alleghany/Calpine/Downieville/Goodyear Bar/Sattley/Sierra City/Sierraville,2858,0,4,3,952.7,0,351,0.123,2,2,No,1/30/2020
Siskiyou,193,Happy Camp,1780,0,0.3,0.2,8900,5,581,0.326,5,10,Yes,1/30/2020
Siskiyou,194,Etna/Fort Jones/Greenview,5208,2,2.7,4,1302,1,965,0.185,3,4,No,1/30/2020
Siskiyou,195,Gazelle/Grenada/Hilt/Hornbrook/Yreka,16045,13,11.3,21.5,746.3,0,3541,0.221,4,4,No,1/30/2020
Siskiyou,196,Tulelake,1202,0,0,0,,5,378,0.314,5,10,Yes,1/30/2020
Siskiyou,197,Carrick/Edgewood/Mount Shasta/Weed,13822,13,6,17.5,789.8,0,2430,0.176,3,3,No,1/30/2020
Siskiyou,198,Dunsmuir,1934,0,0,0,,5,366,0.189,3,8,Yes,1/30/2020
Siskiyou,199,McCloud/Tennant,1363,1.5,0.3,1.7,801.8,0,229,0.168,3,3,No,1/30/2020
Siskiyou,200,Dorris/Macdoel/Mount Hebron,1753,0,0,0,,5,425,0.242,4,9,Yes,1/30/2020
Solano,201,Dixon,22359,10,1.3,11,2032.6,3,2738,0.122,2,5,Yes,1/30/2020
Solano,203.1,Benicia/Collinsville/Suisun City,35282,29,9.6,36.2,974.6,0,1865,0.053,1,1,No,1/30/2020
Solano,203.2,Rio Vista,9942,0,1,0.8,12427.5,5,1181,0.119,2,7,Yes,1/30/2020
Solano,204,Vallejo,145292,170.5,37.9,198.9,730.5,0,20678,0.142,2,2,No,1/30/2020
Solano,202a,Vacaville,97949,121.5,23.3,138.9,705.2,0,8312,0.085,1,1,No,1/30/2020
Solano,202b,Fairfield,113641,204,39.3,233.5,486.7,0,13849,0.122,2,2,No,1/30/2020
Sonoma,205.1,Geyserville/Healdsburg,16092,17,10.6,25,643.7,0,1224,0.076,1,1,No,1/30/2020
Sonoma,205.2,Windsor,29615,2,4.3,5.2,5695.2,5,1613,0.054,1,6,Yes,1/30/2020
Sonoma,206,Cloverdale,13620,4,2,5.5,2476.4,3,1344,0.099,1,4,No,1/30/2020
Sonoma,207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch,25111,11,9.3,18,1395.1,1,3271,0.13,2,3,No,1/30/2020
Sonoma,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,41479,20,8.3,26.2,1583.2,2,4071,0.098,1,3,No,1/30/2020
Sonoma,209.1,Petaluma,136851,62,42.9,94.2,1452.8,1,15477,0.113,2,3,No,1/30/2020
Sonoma,209.2,Two Rock/Valley Ford,14768,3,2,4.5,3281.8,5,1358,0.092,1,6,Yes,1/30/2020
Sonoma,210.1,Santa Rosa,196357,341,141.9,447.4,438.9,0,22354,0.114,2,2,No,1/30/2020
Sonoma,210.2,Bodega/Sebastopol,20473,31,8,37,553.3,0,1995,0.097,1,1,No,1/30/2020
Stanislaus,211,Oakdale/Riverbank,59668,16,15.3,27.4,2177.7,3,7253,0.122,2,5,Yes,1/30/2020
Stanislaus,212.1,Denair/Turlock,76162,59.5,20.8,75.1,1014.1,1,12487,0.164,3,4,No,1/30/2020
Stanislaus,212.2,Keyes,15774,0,0,0,,5,3100,0.197,3,8,Yes,1/30/2020
Stanislaus,212.3,Salida,26803,0,0.3,0.2,134015,5,3836,0.143,2,7,Yes,1/30/2020
Stanislaus,213,Crows Landing/Empire/Grayson/Newman/Patterson/Westley,40379,13.5,6.7,18.5,2182.6,3,6562,0.163,3,6,Yes,1/30/2020
Stanislaus,214,Hughson,46895,11.5,6.6,16.5,2842.1,4,8916,0.19,3,7,Yes,1/30/2020
Stanislaus,215a,Modesto West,81406,152.5,58.3,196.2,414.9,0,13791,0.169,3,3,No,1/30/2020
Stanislaus,215b,Modesto East,90920,85.5,31.7,109.3,831.8,0,11813,0.13,2,2,No,1/30/2020
Stanislaus,215c,Ceres/Modesto South Central,92065,41.5,21.6,57.7,1595.6,2,23452,0.255,5,7,Yes,1/30/2020
Sutter,216,Meridian/Robbins/Yuba City,81557,81.5,34.7,107.5,758.7,0,13392,0.164,3,3,No,1/30/2020
Sutter,217,Nicolaus/Pleasant Grove,2540,0,0,0,,5,252,0.099,1,6,Yes,1/30/2020
Sutter,218,Live Oak,10349,0,1.3,1,10349,5,2161,0.209,4,9,Yes,1/30/2020
Tehama,219,Paskenta/Rancho Tehama,4778,0,1,0.8,5972.5,5,1126,0.236,4,9,Yes,1/30/2020
Tehama,220,Dairyville/Manton/Mineral/Paynes Creek,4358,0,0,0,,5,623,0.143,2,7,Yes,1/30/2020
Tehama,221,Gerber/Los Flores/Proberta/Red Bluff,35103,16,15.5,27.6,1271.8,1,6907,0.197,3,4,No,1/30/2020
Tehama,222,Corning/Los Molinos/Tehama/Vina,18088,2,5.3,6,3014.7,5,4353,0.241,4,9,Yes,1/30/2020
Trinity,223,Junction City/Salyer,2097,0,0,0,,5,399,0.19,3,8,Yes,1/30/2020
Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,6830,3.5,4,6.5,1050.8,1,1221,0.179,3,4,No,1/30/2020
Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,2982,0.5,1,1.3,2293.8,3,613,0.206,4,7,Yes,1/30/2020
Trinity,226,Kettenpom/Mad River/Ruth/Xenia,902,1,1.7,2.2,410,0,312,0.346,5,5,Yes,1/30/2020
Tulare,227.1,Dinuba,34692,15.2,10.6,23.1,1501.8,2,9685,0.279,5,7,Yes,1/30/2020
Tulare,227.2,Cutler-Orosi,18216,3.2,5.9,7.6,2396.8,3,6782,0.372,5,8,Yes,1/30/2020
Tulare,228.1,Ivanhoe/Woodlake,15665,2,3.6,4.7,3333,5,5361,0.342,5,10,Yes,1/30/2020
Tulare,228.2,Exeter/Lemon Cove/Lindsay/Strathmore,42833,7,11.3,15.4,2781.4,4,12778,0.298,5,9,Yes,1/30/2020
Tulare,229,Three Rivers,4811,0,0.7,0.5,9622,5,509,0.106,2,7,Yes,1/30/2020
Tulare,230,Tipton/Tulare/Woodville,77706,29,22.5,45.9,1692.9,2,17708,0.228,4,6,Yes,1/30/2020
Tulare,231,Alpaugh/Earlimart/Pixley/Porterville/Rich Grove/Terra Bella,102326,33,36.7,60.5,1691.3,2,35241,0.344,5,7,Yes,1/30/2020
Tulare,232,Springville,5586,1,0.7,1.5,3724,5,1065,0.191,3,8,Yes,1/30/2020
Tulare,233,Farmersville/Goshen/Visalia,151207,61,95,132.2,1143.8,1,33595,0.222,4,5,Yes,1/30/2020
Tuolumne,234.1,Chinese Camp,2042,5,0,5,408.4,0,118,0.058,1,1,No,1/30/2020
Tuolumne,234.2,Columbia/Jamestown/Sonora,19516,14.5,18.9,28.7,680,0,3660,0.188,3,3,No,1/30/2020
Tuolumne,235,Big Oak Flat/Groveland,3085,1,0,1,3085,5,561,0.182,3,8,Yes,1/30/2020
Tuolumne,236,East Sonora/Mi-Wuk Village/Soulsbyville/Tuolumne City/Twain Harte,25974,3,9.6,10.2,2546.5,4,2536,0.098,1,5,Yes,1/30/2020
Ventura,237,Fillmore/Los Padres National Forest/Piru/Santa Paula/Saticoy,68291,34,23.2,51.4,1328.6,1,11462,0.168,3,4,No,1/30/2020
Ventura,238,Meiners Oaks/Oak View/Ojai,31875,20,8,26,1226,1,3598,0.113,2,3,No,1/30/2020
Ventura,239,Camarillo/Moorpark,107990,78,36.5,105.4,1024.6,1,7151,0.066,1,2,No,1/30/2020
Ventura,240a,Simi Valley East,93391,54.5,14.9,65.7,1421.5,1,5616,0.06,1,2,No,1/30/2020
Ventura,240b,Thousand Oaks Central and West,112570,148.5,38.4,177.3,634.9,0,6569,0.058,1,1,No,1/30/2020
Ventura,240c,Simi Valley West/Thousand Oaks East,86823,46,4.6,49.5,1754,2,4623,0.053,1,3,No,1/30/2020
Ventura,241a,Oxnard East/Oxnard West/Oxnard South Central/Port Hueneme,109820,25,6,29.5,3722.7,5,13018,0.119,2,7,Yes,1/30/2020
Ventura,241b,Oxnard North Central,135724,126.5,28.8,148.1,916.4,0,24250,0.179,3,3,No,1/30/2020
Ventura,241c,Ventura,90010,218,31.1,241.3,373,0,9529,0.106,2,2,No,1/30/2020
Yolo,242,Winters,8954,6,1.3,7,1279.1,1,759,0.085,1,2,No,1/30/2020
Yolo,243,Esparto/Rumsey,5808,0,0,0,,5,614,0.106,2,7,Yes,1/30/2020
Yolo,244,Davis,68403,131,16.8,143.6,476.3,0,21053,0.308,5,5,Yes,1/30/2020
Yolo,245,Bryte/Broderick/Clarksburg/Riverview/West Sacramento,56570,17,13.9,27.4,2064.6,3,9251,0.164,3,6,Yes,1/30/2020
Yolo,246.1,Woodland,60630,61,35.3,87.5,692.9,0,7451,0.123,2,2,No,1/30/2020
Yolo,246.2,Knights Landing,4250,0,0,0,,5,558,0.131,2,7,Yes,1/30/2020
Yuba,247,Browns Valley/Brownsville/Dobbins/Oregon House,4365,0,2.3,1.7,2567.6,4,979,0.224,4,8,Yes,1/30/2020
Yuba,248,Wheatland,4492,0,0,0,,5,439,0.098,1,6,Yes,1/30/2020
Yuba,249,Marysville,64493,15.5,26.7,35.6,1811.6,2,12180,0.189,3,5,Yes,1/30/2020
