name,total_population,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,asians_all,other_all,white_percent,black_percent,american_indian_percent,asian_percent,native_hawaiian_percent,other_percent,two_or_more_races_percent,latino_percent,asians_all_percent,other_all_percent,nonwhite_percent,majority_nonwhite,majority_white,majority_black,majority_american_indian_and_alaska_native,majority_asian,majority_native_hawaiian,majority_other,majority_two_or_more_races,majority_latino,median_householdincome,total_occupied_housing_units,owner_occupied,renter_occupied,owner_percent,renter_percent,majority_owner,majority_renter,majorityhigherthanmedianincomeLA
Northeast Antelope Valley,35803.0,3502.0,442.0,141.0,102.0,1.0,5.0,242.0,6490.0,103.0,388.0,9.78,1.23,0.39,0.28,0.0,0.01,0.67,18.13,0.29,1.08,90.22,True,False,False,False,False,False,False,False,False,48243.279104691486,3094.859084537,2123.944980621,970.914103916,0.6862816440441418,0.3137183559558582,True,False,False
Northridge,119185.0,19948.0,3988.0,18.0,9844.0,227.0,232.0,1595.0,21115.0,10072.0,1845.0,16.74,3.35,0.02,8.26,0.19,0.2,1.34,17.72,8.45,1.55,83.26,True,False,False,False,False,False,False,False,False,75787.32250511163,17796.277244948,9378.37595452,8417.901290428,0.5269852691906298,0.4730147308093703,True,False,True
Northwest Antelope Valley,27385.0,3486.0,401.0,55.0,172.0,5.0,7.0,192.0,1415.0,177.0,254.0,12.73,1.46,0.2,0.63,0.02,0.02,0.7,5.17,0.65,0.93,87.27,True,False,False,False,False,False,False,False,False,71238.42687506852,2027.077921376,1545.704600938,481.373320438,0.7625284576572966,0.2374715423427034,True,False,True
Northwest Palmdale,42113.0,2256.0,203.0,12.0,449.0,8.0,26.0,119.0,1263.0,458.0,156.0,5.36,0.48,0.03,1.07,0.02,0.06,0.28,3.0,1.09,0.37,94.64,True,False,False,False,False,False,False,False,False,111607.37151413548,1188.0341598850002,1070.021687962,118.012471923,0.9006657586896124,0.0993342413103874,True,False,True
Norwalk,152035.0,9649.0,4316.0,164.0,13995.0,665.0,161.0,908.0,68316.0,14660.0,1233.0,6.35,2.84,0.11,9.21,0.44,0.11,0.6,44.93,9.64,0.81,93.65,True,False,False,False,False,False,False,False,False,72317.38970834504,25555.409724704,16006.446358473,9548.963366231,0.6263427795094135,0.3736572204905865,True,False,True
Pacific Palisades,53119.0,18084.0,87.0,9.0,1180.0,5.0,39.0,1237.0,1257.0,1185.0,1285.0,34.04,0.16,0.02,2.22,0.01,0.07,2.33,2.37,2.23,2.42,65.96,True,False,False,False,False,False,False,False,False,192849.301178976,8789.811358395,6927.744279212,1862.067079183,0.7881561954791474,0.2118438045208525,True,False,True
Pacoima,95405.0,1401.0,1228.0,106.0,1095.0,31.0,236.0,212.0,38949.0,1126.0,554.0,1.47,1.29,0.11,1.15,0.03,0.25,0.22,40.82,1.18,0.58,98.53,True,False,False,False,False,False,False,False,False,55997.71072055057,9404.728133439,5423.357692493,3981.370440946,0.5766628886602229,0.4233371113397771,True,False,False
Palmdale,210866.0,30539.0,19483.0,752.0,6961.0,231.0,213.0,2341.0,96194.0,7192.0,3306.0,14.48,9.24,0.36,3.3,0.11,0.1,1.11,45.62,3.41,1.57,85.52,True,False,False,False,False,False,False,False,False,61683.88156935264,43581.04338780688,28106.36653752265,15474.676850284228,0.6449218364832968,0.3550781635167032,True,False,False
Palms,76816.0,14805.0,3303.0,82.0,8560.0,151.0,288.0,1330.0,7339.0,8711.0,1699.0,19.27,4.3,0.11,11.14,0.2,0.37,1.73,9.55,11.34,2.21,80.73,True,False,False,False,False,False,False,False,False,76694.25155735329,17933.4871034901,2392.309488399,15541.1776150911,0.1333990135099505,0.8666009864900494,False,True,True
Palos Verdes Estates,31560.0,7238.0,41.0,2.0,2517.0,0.0,27.0,346.0,855.0,2517.0,374.0,22.93,0.13,0.01,7.98,0.0,0.08,1.1,2.71,7.98,1.19,77.07,True,False,False,False,False,False,False,False,False,192064.0155823608,4031.175511944,3482.462256349,548.713255595,0.8638825687521634,0.1361174312478366,True,False,True
Panorama City,129219.0,5912.0,2265.0,58.0,9986.0,45.0,179.0,254.0,50438.0,10031.0,490.0,4.58,1.75,0.04,7.73,0.04,0.14,0.2,39.03,7.76,0.38,95.42,True,False,False,False,False,False,False,False,False,45908.5426964255,18954.913214155,6338.535297711,12616.377916444,0.3344006499052477,0.6655993500947522,False,True,False
Paramount,89806.0,2982.0,4363.0,27.0,1535.0,232.0,113.0,468.0,40618.0,1767.0,608.0,3.32,4.86,0.03,1.71,0.26,0.13,0.52,45.23,1.97,0.68,96.68,True,False,False,False,False,False,False,False,False,57206.63246701488,13307.577660231,5652.679740385,7654.897919846,0.4247715012235275,0.5752284987764725,False,True,False
Pasadena,174023.0,35254.0,5819.0,90.0,14330.0,70.0,387.0,3058.0,23775.0,14399.0,3535.0,20.26,3.34,0.05,8.23,0.04,0.22,1.76,13.66,8.27,2.03,79.74,True,False,False,False,False,False,False,False,False,84653.22692700691,32131.539486471,18216.296998222,13915.242488249,0.5669288583540164,0.4330711416459836,True,False,True
Pico Rivera,112104.0,1882.0,238.0,52.0,964.0,23.0,17.0,125.0,32465.0,987.0,194.0,1.68,0.21,0.05,0.86,0.02,0.01,0.11,28.96,0.88,0.17,98.32,True,False,False,False,False,False,False,False,False,67710.34973885986,9385.131373982253,6785.777361914739,2599.3540120675143,0.723034882679051,0.276965117320949,True,False,False
Pico-Robertson,35143.0,12614.0,466.0,8.0,1245.0,1.0,58.0,599.0,1350.0,1246.0,665.0,35.89,1.33,0.02,3.54,0.0,0.16,1.71,3.84,3.54,1.89,64.11,True,False,False,False,False,False,False,False,False,84067.0795984124,7252.003782838,1787.371007234,5464.632775604,0.2464658128645556,0.7535341871354444,False,True,True
Pico-Union,77351.0,1486.0,1225.0,61.0,4476.0,12.0,90.0,109.0,34282.0,4488.0,259.0,1.92,1.58,0.08,5.79,0.02,0.12,0.14,44.32,5.8,0.34,98.08,True,False,False,False,False,False,False,False,False,35230.84854279677,13048.332839176,1246.899770054,11801.433069122,0.0955600830713283,0.9044399169286716,False,True,False
Playa Vista,42333.0,7196.0,849.0,0.0,3274.0,0.0,0.0,575.0,2103.0,3274.0,575.0,17.0,2.01,0.0,7.73,0.0,0.0,1.36,4.97,7.73,1.36,83.0,True,False,False,False,False,False,False,False,False,139705.09236367207,6507.71230861,2425.851562238,4081.860746372,0.3727656428555527,0.6272343571444473,False,True,True
Playa del Rey,40891.0,4661.0,610.0,27.0,853.0,0.0,47.0,223.0,869.0,853.0,297.0,11.4,1.49,0.07,2.08,0.0,0.12,0.54,2.12,2.08,0.73,88.6,True,False,False,False,False,False,False,False,False,106799.89773995124,4065.132510475,1975.116297698,2090.016212777,0.4858676298026047,0.5141323701973954,False,True,True
Pomona,186064.0,14374.0,6913.0,323.0,13782.0,110.0,446.0,1885.0,97522.0,13893.0,2654.0,7.73,3.72,0.17,7.41,0.06,0.24,1.01,52.41,7.47,1.43,92.27,True,False,False,False,False,False,False,False,True,61579.59805189973,34324.558276731805,18548.78360003021,15775.774676701592,0.5403939491511011,0.4596060508488989,True,False,False
Porter Ranch,71816.0,10646.0,838.0,22.0,6333.0,0.0,15.0,771.0,3229.0,6333.0,808.0,14.82,1.17,0.03,8.82,0.0,0.02,1.07,4.5,8.82,1.12,85.18,True,False,False,False,False,False,False,False,False,130916.62696666464,7285.630102759,6352.528148535001,933.101954224,0.8719257029161223,0.1280742970838779,True,False,True
Quartz Hill,55649.0,2937.0,453.0,16.0,208.0,0.0,1.0,201.0,1657.0,208.0,218.0,5.28,0.81,0.03,0.37,0.0,0.0,0.36,2.98,0.37,0.39,94.72,True,False,False,False,False,False,False,False,False,86432.17488359658,1864.729494109,1445.498058006,419.231436103,0.7751784173375151,0.2248215826624847,True,False,True
Ramona,36045.0,1051.0,213.0,4.0,872.0,1.0,6.0,151.0,1890.0,873.0,161.0,2.92,0.59,0.01,2.42,0.0,0.02,0.42,5.24,2.42,0.45,97.08,True,False,False,False,False,False,False,False,False,86315.74195251396,858.6174393840001,636.2510656510001,222.366373733,0.7410181024362458,0.2589818975637541,True,False,True
Rancho Dominguez,19292.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.04,0.01,0.0,100.0,True,False,False,False,False,False,False,False,False,69760.71047461589,5.056465053999999,3.718391976,1.338073078,0.7353738108124578,0.2646261891875422,True,False,True
Rancho Palos Verdes,69444.0,11549.0,367.0,39.0,7043.0,149.0,36.0,1089.0,3177.0,7192.0,1164.0,16.63,0.53,0.06,10.14,0.21,0.05,1.57,4.57,10.36,1.68,83.37,True,False,False,False,False,False,False,False,False,134965.47146516282,8648.346530532,6851.95526426,1796.391266272,0.7922850038524653,0.2077149961475347,True,False,True
Rancho Park,20513.0,1523.0,165.0,22.0,794.0,12.0,6.0,125.0,375.0,805.0,152.0,7.42,0.81,0.11,3.87,0.06,0.03,0.61,1.83,3.92,0.74,92.58,True,False,False,False,False,False,False,False,False,84613.27584694397,1384.390853021,529.65583376,854.7350192609999,0.3825912549221138,0.6174087450778862,False,True,True
Redondo Beach,107099.0,20359.0,1029.0,59.0,4573.0,25.0,291.0,2160.0,4795.0,4598.0,2510.0,19.01,0.96,0.05,4.27,0.02,0.27,2.02,4.48,4.29,2.34,80.99,True,False,False,False,False,False,False,False,False,116320.84707794436,13733.944285184,7161.111866008001,6572.832419176,0.52141698825248,0.47858301174752,True,False,True
Reseda,102493.0,19258.0,2760.0,209.0,9147.0,70.0,385.0,1435.0,40396.0,9217.0,2029.0,18.79,2.69,0.2,8.92,0.07,0.38,1.4,39.41,8.99,1.98,81.21,True,False,False,False,False,False,False,False,False,64274.44920397282,21584.432758238,10378.763476463,11205.669281775,0.4808448566943136,0.5191551433056865,False,True,False
Ridge Route,15514.0,3846.0,135.0,4.0,288.0,16.0,150.0,299.0,2210.0,304.0,452.0,24.79,0.87,0.02,1.86,0.1,0.96,1.93,14.24,1.96,2.91,75.21,True,False,False,False,False,False,False,False,False,96999.90378321614,2189.450437366,1576.995311873,612.455125493,0.7202699293664719,0.279730070633528,True,False,True
Rolling Hills,15096.0,42.0,1.0,0.0,19.0,0.0,0.0,5.0,5.0,19.0,6.0,0.28,0.01,0.0,0.12,0.0,0.0,0.03,0.03,0.12,0.04,99.72,True,False,False,False,False,False,False,False,False,189620.118889688,27.546775658,22.738930721000003,4.8078449370000005,0.8254661454142374,0.1745338545857627,True,False,True
Rolling Hills Estates,46834.0,3122.0,141.0,7.0,1934.0,2.0,11.0,264.0,560.0,1936.0,281.0,6.67,0.3,0.01,4.13,0.0,0.02,0.56,1.2,4.13,0.6,93.33,True,False,False,False,False,False,False,False,False,161920.32345624047,2170.821491938,1993.675176389,177.146315549,0.9183966455985044,0.0816033544014955,True,False,True
Rosemead,76927.0,1206.0,132.0,25.0,18743.0,11.0,0.0,265.0,8671.0,18754.0,290.0,1.57,0.17,0.03,24.37,0.01,0.0,0.34,11.27,24.38,0.38,98.43,True,False,False,False,False,False,False,False,False,58758.04201277156,7841.742025347,3696.032558118,4145.709467229,0.4713279965307771,0.5286720034692229,False,True,False
Rowland Heights,48174.0,2339.0,470.0,171.0,16676.0,136.0,38.0,406.0,8903.0,16812.0,615.0,4.85,0.98,0.36,34.62,0.28,0.08,0.84,18.48,34.9,1.28,95.15,True,False,False,False,False,False,False,False,False,77973.56016180386,8485.578014273,4793.078293963,3692.49972031,0.5648499472753531,0.4351500527246468,True,False,True
San Dimas,88858.0,15301.0,578.0,148.0,4574.0,14.0,28.0,1021.0,11828.0,4588.0,1197.0,17.22,0.65,0.17,5.15,0.02,0.03,1.15,13.31,5.16,1.35,82.78,True,False,False,False,False,False,False,False,False,88553.61752176684,11265.484771349,7985.976037839,3279.50873351,0.7088888050471981,0.2911111949528019,True,False,True
San Fernando,50923.0,680.0,41.0,123.0,133.0,6.0,14.0,18.0,16053.0,139.0,156.0,1.34,0.08,0.24,0.26,0.01,0.03,0.04,31.52,0.27,0.31,98.66,True,False,False,False,False,False,False,False,False,57842.65488725933,4710.6531253576,2192.8498136698,2517.8033116878,0.4655086577836984,0.5344913422163017,False,True,False
San Gabriel,69389.0,3678.0,228.0,39.0,19577.0,14.0,45.0,440.0,8953.0,19591.0,524.0,5.3,0.33,0.06,28.21,0.02,0.06,0.63,12.9,28.23,0.76,94.7,True,False,False,False,False,False,False,False,False,63700.8518378061,10239.070308626,4392.950253442,5846.120055184,0.4290380006220992,0.5709619993779007,False,True,False
San Marino,51572.0,49.0,6.0,0.0,39.0,0.0,1.0,3.0,25.0,39.0,5.0,0.09,0.01,0.0,0.08,0.0,0.0,0.01,0.05,0.08,0.01,99.91,True,False,False,False,False,False,False,False,False,167001.3573280246,49.581736238,29.556492136,20.025244102,0.5961165214974374,0.4038834785025625,True,False,True
San Pasqual,11320.0,922.0,95.0,0.0,528.0,0.0,11.0,29.0,410.0,528.0,40.0,8.14,0.84,0.0,4.66,0.0,0.1,0.26,3.62,4.66,0.36,91.86,True,False,False,False,False,False,False,False,False,100937.38246903838,928.104173556,503.259616854,424.844556702,0.5422447513901135,0.4577552486098865,True,False,True
San Pedro,90479.0,20360.0,4052.0,81.0,4726.0,122.0,110.0,2010.0,31001.0,4848.0,2201.0,22.5,4.48,0.09,5.22,0.13,0.12,2.22,34.26,5.36,2.43,77.5,True,False,False,False,False,False,False,False,False,61257.58230103225,23636.2907350848,9663.416145225,13972.8745898598,0.4088380978865265,0.5911619021134734,False,True,False
Santa Clarita,227432.0,78882.0,6248.0,386.0,17457.0,158.0,391.0,5841.0,61459.0,17615.0,6618.0,34.68,2.75,0.17,7.68,0.07,0.17,2.57,27.02,7.75,2.91,65.32,True,False,False,False,False,False,False,False,False,95615.01920035345,55692.111546932,37263.624517167,18428.487029765,0.669100586817664,0.330899413182336,True,False,True
Santa Fe Springs,110981.0,2307.0,632.0,44.0,1233.0,10.0,178.0,158.0,15188.0,1243.0,380.0,2.08,0.57,0.04,1.11,0.01,0.16,0.14,13.69,1.12,0.34,97.92,True,False,False,False,False,False,False,False,False,68645.92217027135,5613.871221170663,3687.654131500393,1926.2170896702703,0.6568825657406877,0.3431174342593123,True,False,True
Santa Monica,98450.0,41563.0,3249.0,62.0,6355.0,87.0,349.0,3220.0,11184.0,6442.0,3631.0,42.22,3.3,0.06,6.45,0.09,0.35,3.27,11.36,6.54,3.69,57.78,True,False,False,False,False,False,False,False,False,96514.95902347995,33724.76733618923,8277.89167849358,25446.87565769565,0.2454543747025579,0.7545456252974421,False,True,True
Sawtelle,74819.0,15220.0,953.0,4.0,5254.0,5.0,63.0,1204.0,4492.0,5259.0,1271.0,20.34,1.27,0.0,7.02,0.01,0.08,1.61,6.0,7.03,1.7,79.66,True,False,False,False,False,False,False,False,False,85727.2335500835,13216.225008370964,3626.396202928838,9589.828805442126,0.2743897142059803,0.7256102857940198,False,True,True
Sepulveda Basin,33749.0,510.0,42.0,6.0,60.0,0.0,1.0,23.0,197.0,61.0,30.0,1.51,0.12,0.02,0.18,0.0,0.0,0.07,0.58,0.18,0.09,98.49,True,False,False,False,False,False,False,False,False,105241.47578635078,309.212212925,173.237816588,135.974396337,0.5602554147174618,0.4397445852825381,True,False,True
Shadow Hills,26660.0,587.0,4.0,0.0,59.0,0.0,1.0,21.0,532.0,59.0,22.0,2.2,0.01,0.0,0.22,0.0,0.0,0.08,2.0,0.22,0.08,97.8,True,False,False,False,False,False,False,False,False,91864.40311980544,399.77596237,246.29938478,153.47657759,0.6160935322870799,0.3839064677129202,True,False,True
Sherman Oaks,104633.0,42565.0,3397.0,16.0,4601.0,24.0,255.0,2846.0,8913.0,4625.0,3116.0,40.68,3.25,0.02,4.4,0.02,0.24,2.72,8.52,4.42,2.98,59.32,True,False,False,False,False,False,False,False,False,91252.66403516036,28468.231468796,11523.026269026,16945.20519977,0.4047679000241507,0.5952320999758494,False,True,True
Sierra Madre,15759.0,2754.0,47.0,8.0,745.0,0.0,58.0,183.0,243.0,745.0,249.0,17.48,0.3,0.05,4.73,0.0,0.37,1.16,1.54,4.73,1.58,82.52,True,False,False,False,False,False,False,False,False,102251.18609901171,1668.643976375,1350.4042726589998,318.239703716,0.809282442377342,0.1907175576226578,True,False,True
Signal Hill,42726.0,2171.0,797.0,0.0,2062.0,21.0,6.0,273.0,3093.0,2083.0,279.0,5.08,1.87,0.0,4.83,0.05,0.01,0.64,7.24,4.88,0.65,94.92,True,False,False,False,False,False,False,False,False,75213.70003975513,3380.865926706,1401.374360105,1979.491566601,0.4145016071283158,0.585498392871684,False,True,True
Silver Lake,76902.0,12008.0,556.0,59.0,3921.0,29.0,14.0,927.0,8621.0,3951.0,1000.0,15.61,0.72,0.08,5.1,0.04,0.02,1.21,11.21,5.14,1.3,84.39,True,False,False,False,False,False,False,False,False,87031.89611136453,11848.889650731,3616.901508216,8231.988142515,0.3052523582235286,0.6947476417764714,False,True,True
South Diamond Bar,12541.0,699.0,270.0,3.0,3188.0,19.0,0.0,111.0,779.0,3207.0,113.0,5.58,2.15,0.02,25.42,0.15,0.0,0.88,6.21,25.57,0.9,94.42,True,False,False,False,False,False,False,False,False,118831.72666338678,1584.006749469,1224.6295994400002,359.377150029,0.7731214528287381,0.226878547171262,True,False,True
South El Monte,53816.0,341.0,34.0,9.0,3172.0,103.0,5.0,28.0,16596.0,3275.0,42.0,0.63,0.06,0.02,5.89,0.19,0.01,0.05,30.84,6.09,0.08,99.37,True,False,False,False,False,False,False,False,False,50651.91055553831,4833.607758805,1961.715864439,2871.891894366,0.4058492046371569,0.5941507953628431,False,True,False
South Gate,173621.0,2613.0,422.0,81.0,526.0,173.0,14.0,165.0,77838.0,699.0,261.0,1.51,0.24,0.05,0.3,0.1,0.01,0.1,44.83,0.4,0.15,98.49,True,False,False,False,False,False,False,False,False,52513.55313822664,20793.133606222,9469.699750005,11323.433856217,0.4554243688970165,0.5445756311029835,False,True,False
South Park,69340.0,168.0,3642.0,68.0,126.0,7.0,54.0,269.0,31459.0,133.0,391.0,0.24,5.25,0.1,0.18,0.01,0.08,0.39,45.37,0.19,0.56,99.76,True,False,False,False,False,False,False,False,False,37113.38704309031,8386.408201759,2463.493511536,5922.914690223,0.293748342826825,0.7062516571731748,False,True,False
South Pasadena,52389.0,10919.0,796.0,47.0,7790.0,0.0,140.0,1196.0,4784.0,7790.0,1383.0,20.84,1.52,0.09,14.87,0.0,0.27,2.28,9.13,14.87,2.64,79.16,True,False,False,False,False,False,False,False,False,105987.66262121576,9829.72291693931,4659.94704389973,5169.77587303958,0.4740669786194443,0.5259330213805556,False,True,True
South San Gabriel,40116.0,342.0,30.0,11.0,3280.0,0.0,0.0,71.0,2399.0,3280.0,82.0,0.85,0.08,0.03,8.18,0.0,0.0,0.18,5.98,8.18,0.2,99.15,True,False,False,False,False,False,False,False,False,62297.411056523706,1589.891438108288,1058.284246715436,531.6071913928519,0.6656330245885355,0.3343669754114645,True,False,False
South San Jose Hills,52297.0,628.0,201.0,0.0,2016.0,18.0,12.0,49.0,16691.0,2034.0,61.0,1.2,0.38,0.0,3.86,0.03,0.02,0.09,31.92,3.89,0.12,98.8,True,False,False,False,False,False,False,False,False,68782.69251457416,4174.82609832,2918.193816776,1256.632281544,0.6989976942872701,0.3010023057127299,True,False,True
South Whittier,59310.0,3485.0,114.0,195.0,1199.0,153.0,553.0,177.0,23956.0,1352.0,925.0,5.88,0.19,0.33,2.02,0.26,0.93,0.3,40.39,2.28,1.56,94.12,True,False,False,False,False,False,False,False,False,73321.11301627921,7313.94292724,4708.580165687,2605.362761553,0.6437813656092933,0.3562186343907065,True,False,True
Southeast Antelope Valley,48038.0,2551.0,315.0,42.0,258.0,10.0,9.0,190.0,2729.0,268.0,241.0,5.31,0.66,0.09,0.54,0.02,0.02,0.39,5.68,0.56,0.5,94.69,True,False,False,False,False,False,False,False,False,66738.25664424598,2157.1781290920003,1606.467485858,550.710643234,0.7447078496638544,0.2552921503361455,True,False,False
Stevenson Ranch,13131.0,2131.0,153.0,0.0,858.0,0.0,0.0,331.0,558.0,858.0,331.0,16.23,1.16,0.0,6.54,0.0,0.0,2.52,4.25,6.54,2.52,83.77,True,False,False,False,False,False,False,False,False,157353.77218097448,1242.256684824,1072.532125359,169.724559465,0.8633740018963583,0.1366259981036416,True,False,True
Studio City,66761.0,25533.0,1578.0,95.0,3123.0,39.0,65.0,1540.0,3905.0,3161.0,1699.0,38.25,2.36,0.14,4.68,0.06,0.1,2.31,5.85,4.74,2.55,61.75,True,False,False,False,False,False,False,False,False,104257.1800992606,16638.239530006,7353.772288431,9284.467241575,0.441980191183625,0.5580198088163748,False,True,True
Sun Valley,109796.0,12881.0,1461.0,15.0,4593.0,3.0,92.0,853.0,47847.0,4596.0,961.0,11.73,1.33,0.01,4.18,0.0,0.08,0.78,43.58,4.19,0.87,88.27,True,False,False,False,False,False,False,False,False,55681.827356928174,18480.73614354206,8939.62956742945,9541.10657611261,0.4837269196418525,0.5162730803581475,False,True,False
Sun Village,22232.0,601.0,154.0,32.0,37.0,0.0,0.0,44.0,1700.0,37.0,77.0,2.7,0.69,0.14,0.17,0.0,0.0,0.2,7.65,0.17,0.34,97.3,True,False,False,False,False,False,False,False,False,49023.00526451768,648.6564091639999,439.368802016,209.287607148,0.6773521325138319,0.3226478674861683,True,False,False
Sunland,23962.0,8387.0,201.0,0.0,1744.0,0.0,88.0,346.0,3516.0,1744.0,434.0,35.0,0.84,0.0,7.28,0.0,0.37,1.45,14.67,7.28,1.81,65.0,True,False,False,False,False,False,False,False,False,87807.15112166808,5220.122833177,3610.073097550001,1610.049735627,0.6915686111073535,0.3084313888926467,True,False,True
Sylmar,85290.0,4392.0,1377.0,42.0,2198.0,25.0,73.0,257.0,38313.0,2223.0,372.0,5.15,1.61,0.05,2.58,0.03,0.09,0.3,44.92,2.61,0.44,94.85,True,False,False,False,False,False,False,False,False,73642.19768948776,11928.914612719447,7272.7149687701185,4656.19964394933,0.6096711398215088,0.3903288601784911,True,False,True
Tarzana,60924.0,24296.0,2399.0,25.0,2579.0,6.0,253.0,1430.0,6350.0,2585.0,1708.0,39.88,3.94,0.04,4.23,0.01,0.42,2.35,10.42,4.24,2.8,60.12,True,False,False,False,False,False,False,False,False,80618.06045498127,14202.315419053,7883.938699389,6318.376719664,0.5551164346633484,0.4448835653366516,True,False,True
Temple City,63807.0,5606.0,370.0,111.0,22248.0,189.0,8.0,625.0,7339.0,22437.0,744.0,8.79,0.58,0.17,34.87,0.3,0.01,0.98,11.5,35.16,1.17,91.21,True,False,False,False,False,False,False,False,False,76894.59365283216,11752.452877607,6896.867188173,4855.585689434,0.5868449131427038,0.4131550868572962,True,False,True
Toluca Lake,37833.0,5990.0,326.0,0.0,836.0,7.0,0.0,326.0,2078.0,844.0,326.0,15.83,0.86,0.0,2.21,0.02,0.0,0.86,5.49,2.23,0.86,84.17,True,False,False,False,False,False,False,False,False,87439.75267616443,4680.764977868,1702.2568365389998,2978.508141329,0.3636706488336327,0.6363293511663674,False,True,True
Topanga,23392.0,4735.0,73.0,78.0,311.0,0.0,7.0,217.0,576.0,311.0,302.0,20.24,0.31,0.33,1.33,0.0,0.03,0.93,2.46,1.33,1.29,79.76,True,False,False,False,False,False,False,False,False,140457.2421585201,2201.859202255,1654.20761452,547.651587735,0.7512776533694202,0.2487223466305798,True,False,True
Torrance,190005.0,45511.0,3276.0,403.0,43736.0,589.0,444.0,5748.0,22047.0,44325.0,6595.0,23.95,1.72,0.21,23.02,0.31,0.23,3.02,11.6,23.33,3.47,76.05,True,False,False,False,False,False,False,False,False,93711.05147826526,45388.45203896601,25859.24056339201,19529.211475574,0.5697317137229495,0.4302682862770504,True,False,True
Tujunga,42982.0,7582.0,133.0,16.0,1269.0,3.0,49.0,389.0,3539.0,1272.0,454.0,17.64,0.31,0.04,2.95,0.01,0.11,0.9,8.23,2.96,1.06,82.36,True,False,False,False,False,False,False,False,False,63688.25302509636,4827.650045659796,2712.633918563457,2115.016127096339,0.5618953099142299,0.4381046900857701,True,False,False
Tujunga Canyons,69004.0,4392.0,208.0,44.0,730.0,3.0,12.0,240.0,1513.0,733.0,296.0,6.36,0.3,0.06,1.06,0.0,0.02,0.35,2.19,1.06,0.43,93.64,True,False,False,False,False,False,False,False,False,109367.50241942158,2237.9030670812,1932.0031846826,305.8998823986,0.8633095924044771,0.1366904075955228,True,False,True
Unincorporated Catalina Island,4167.0,135.0,2.0,0.0,2.0,7.0,0.0,4.0,124.0,9.0,4.0,3.24,0.05,0.0,0.05,0.16,0.0,0.09,2.97,0.21,0.09,96.76,True,False,False,False,False,False,False,False,False,71864.65189258498,94.751099762,25.487993718,69.263106044,0.2689994499485691,0.7310005500514308,False,True,True
Unincorporated Santa Monica Mountains,19789.0,8774.0,298.0,38.0,675.0,0.0,6.0,308.0,1043.0,675.0,353.0,44.34,1.51,0.19,3.41,0.0,0.03,1.56,5.27,3.41,1.78,55.66,True,False,False,False,False,False,False,False,False,132360.90758320352,4195.202917614,3040.597753996,1154.605163618,0.7247796623209167,0.2752203376790831,True,False,True
Unincorporated Santa Susana Mountains,90376.0,7966.0,400.0,7.0,2967.0,19.0,0.0,1113.0,4212.0,2986.0,1120.0,8.81,0.44,0.01,3.28,0.02,0.0,1.23,4.66,3.3,1.24,91.19,True,False,False,False,False,False,False,False,False,117756.311538619,5290.959367424,3919.738433146,1371.220934278,0.7408369940014103,0.2591630059985896,True,False,True
Universal City,15148.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,99.97,True,False,False,False,False,False,False,False,False,,3.3909237255,0.9951352235,2.3957885020000003,0.2934702470646888,0.7065297529353113,False,True,False
University Park,37624.0,6426.0,1649.0,24.0,6359.0,71.0,95.0,708.0,8934.0,6429.0,827.0,17.08,4.38,0.06,16.9,0.19,0.25,1.88,23.75,17.09,2.2,82.92,True,False,False,False,False,False,False,False,False,22588.94479606776,5568.724103453,546.3969182129999,5022.32718524,0.0981188703304937,0.9018811296695064,False,True,False
Val Verde,3381.0,44.0,3.0,0.0,4.0,0.0,0.0,1.0,85.0,4.0,1.0,1.31,0.08,0.0,0.11,0.0,0.0,0.04,2.5,0.11,0.04,98.69,True,False,False,False,False,False,False,False,False,90518.70289855072,36.951351765,30.812985133,6.138366632,0.8338797814207651,0.1661202185792349,True,False,True
Valinda,48341.0,704.0,335.0,20.0,2801.0,11.0,102.0,90.0,11167.0,2812.0,212.0,1.46,0.69,0.04,5.79,0.02,0.21,0.19,23.1,5.82,0.44,98.54,True,False,False,False,False,False,False,False,False,88039.40687732681,3295.253401286,2387.377786272,907.875615014,0.7244898936574364,0.2755101063425635,True,False,True
Valley Glen,108255.0,28055.0,2236.0,67.0,2864.0,2.0,216.0,1210.0,23973.0,2866.0,1492.0,25.92,2.07,0.06,2.65,0.0,0.2,1.12,22.14,2.65,1.38,74.08,True,False,False,False,False,False,False,False,False,53506.04809280066,20855.576772357,7058.921796627,13796.65497573,0.3384668702130185,0.6615331297869815,False,True,False
Valley Village,55011.0,16065.0,1506.0,45.0,1560.0,20.0,53.0,1002.0,5017.0,1580.0,1099.0,29.2,2.74,0.08,2.84,0.04,0.1,1.82,9.12,2.87,2.0,70.8,True,False,False,False,False,False,False,False,False,72336.43376834833,11425.217345997,3489.387513186,7935.829832810999,0.3054110401154478,0.6945889598845522,False,True,True
