,president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
1206,Joseph R. Biden Jr.,Adults,04-15-21,52.79,57.867727,47.704571,39.66,43.926934,35.402155,16:28:06 15 Apr 2021,13.12,2021-04-15 16:28:06,Apr. 15
1209,Joseph R. Biden Jr.,Adults,04-14-21,52.1,57.040589,47.168062,39.62,44.35564,34.881789,14:09:06 14 Apr 2021,12.49,2021-04-14 14:09:06,Apr. 14
1212,Joseph R. Biden Jr.,Adults,04-13-21,53.2,57.976329,48.433548,38.02,42.650998,33.382761,09:39:06 13 Apr 2021,15.19,2021-04-13 09:39:06,Apr. 13
1221,Joseph R. Biden Jr.,Adults,04-12-21,53.13,58.06374,48.203295,38.17,42.966069,33.372224,10:07:09 12 Apr 2021,14.96,2021-04-12 10:07:09,Apr. 12
1224,Joseph R. Biden Jr.,Adults,04-09-21,53.13,58.06374,48.203295,38.17,42.966069,33.372224,15:21:06  9 Apr 2021,14.96,2021-04-09 15:21:06,Apr. 09
1227,Joseph R. Biden Jr.,Adults,04-08-21,53.13,58.063587,48.203449,38.17,42.9659,33.372393,20:50:07  8 Apr 2021,14.96,2021-04-08 20:50:07,Apr. 08
1230,Joseph R. Biden Jr.,Adults,04-07-21,52.9,57.969453,47.838499,38.49,43.372804,33.616937,11:08:06  7 Apr 2021,14.41,2021-04-07 11:08:06,Apr. 07
1233,Joseph R. Biden Jr.,Adults,04-06-21,53.75,58.748831,48.752536,38.02,42.86759,33.181776,10:01:07  6 Apr 2021,15.73,2021-04-06 10:01:07,Apr. 06
1236,Joseph R. Biden Jr.,Adults,04-05-21,53.75,58.748831,48.752536,38.02,42.86759,33.181776,16:44:05  5 Apr 2021,15.73,2021-04-05 16:44:05,Apr. 05
1239,Joseph R. Biden Jr.,Adults,04-04-21,54.1,59.610897,48.592378,39.07,43.536963,34.602646,21:48:04  4 Apr 2021,15.03,2021-04-04 21:48:04,Apr. 04
1242,Joseph R. Biden Jr.,Adults,04-03-21,54.09,59.597719,48.583846,39.08,43.5397,34.611603,18:53:04  3 Apr 2021,15.02,2021-04-03 18:53:04,Apr. 03
1245,Joseph R. Biden Jr.,Adults,04-02-21,54.06,59.631483,48.488215,38.9,43.364984,34.432398,15:20:07  2 Apr 2021,15.16,2021-04-02 15:20:07,Apr. 02
1248,Joseph R. Biden Jr.,Adults,04-01-21,53.93,59.520587,48.334918,38.37,42.790595,33.950013,23:17:05  1 Apr 2021,15.56,2021-04-01 23:17:05,Apr. 01
1251,Joseph R. Biden Jr.,Adults,03-31-21,54.35,59.929272,48.767423,38.47,42.879017,34.069235,19:48:07 31 Mar 2021,15.87,2021-03-31 19:48:07,Mar. 31
1254,Joseph R. Biden Jr.,Adults,03-30-21,54.25,59.195056,49.308881,38.49,43.158174,33.815964,15:48:05 30 Mar 2021,15.76,2021-03-30 15:48:05,Mar. 30
1263,Joseph R. Biden Jr.,Adults,03-29-21,54.56,59.976953,49.137712,38.71,43.792814,33.628902,11:09:08 29 Mar 2021,15.85,2021-03-29 11:09:08,Mar. 29
1266,Joseph R. Biden Jr.,Adults,03-26-21,54.56,59.976953,49.137712,38.71,43.792814,33.628902,16:53:05 26 Mar 2021,15.85,2021-03-26 16:53:05,Mar. 26
1269,Joseph R. Biden Jr.,Adults,03-25-21,54.56,60.120728,48.992304,38.78,43.957024,33.60924,21:13:04 25 Mar 2021,15.77,2021-03-25 21:13:04,Mar. 25
1272,Joseph R. Biden Jr.,Adults,03-24-21,54.87,60.443794,49.306022,38.4,43.523636,33.284994,13:16:06 24 Mar 2021,16.47,2021-03-24 13:16:06,Mar. 24
1275,Joseph R. Biden Jr.,Adults,03-23-21,55.38,60.761786,49.991739,38.12,43.12557,33.114701,09:57:05 23 Mar 2021,17.26,2021-03-23 09:57:05,Mar. 23
1284,Joseph R. Biden Jr.,Adults,03-22-21,54.43,59.721567,49.142229,38.96,43.921238,34.005804,09:38:07 22 Mar 2021,15.47,2021-03-22 09:38:07,Mar. 22
1287,Joseph R. Biden Jr.,Adults,03-19-21,54.43,59.721567,49.142229,38.96,43.921238,34.005804,12:55:06 19 Mar 2021,15.47,2021-03-19 12:55:06,Mar. 19
1290,Joseph R. Biden Jr.,Adults,03-18-21,54.43,59.721567,49.142229,38.96,43.921238,34.005804,20:54:05 18 Mar 2021,15.47,2021-03-18 20:54:05,Mar. 18
1293,Joseph R. Biden Jr.,Adults,03-17-21,53.81,59.131589,48.485206,39.43,44.318689,34.545105,17:05:05 17 Mar 2021,14.38,2021-03-17 17:05:05,Mar. 17
1296,Joseph R. Biden Jr.,Adults,03-16-21,54.24,59.538213,48.936106,39.65,44.465285,34.831783,13:47:05 16 Mar 2021,14.59,2021-03-16 13:47:05,Mar. 16
1299,Joseph R. Biden Jr.,Adults,03-15-21,54.24,59.538213,48.936106,39.65,44.465285,34.831783,10:35:07 15 Mar 2021,14.59,2021-03-15 10:35:07,Mar. 15
1305,Joseph R. Biden Jr.,Adults,03-14-21,52.99,57.935892,48.0478,39.91,44.772348,35.05312,11:57:08 14 Mar 2021,13.08,2021-03-14 11:57:08,Mar. 14
1308,Joseph R. Biden Jr.,Adults,03-12-21,52.99,57.935892,48.0478,39.91,44.772348,35.05312,22:00:08 12 Mar 2021,13.08,2021-03-12 22:00:08,Mar. 12
1311,Joseph R. Biden Jr.,Adults,03-11-21,52.98,57.974086,47.988438,40.01,44.935533,35.086773,21:52:04 11 Mar 2021,12.97,2021-03-11 21:52:04,Mar. 11
1314,Joseph R. Biden Jr.,Adults,03-10-21,52.84,57.899749,47.780901,38.25,43.351793,33.147248,13:46:05 10 Mar 2021,14.59,2021-03-10 13:46:05,Mar. 10
1317,Joseph R. Biden Jr.,Adults,03-09-21,53.53,58.648894,48.404119,37.27,42.435059,32.1144,21:39:04  9 Mar 2021,16.25,2021-03-09 21:39:04,Mar. 09
1326,Joseph R. Biden Jr.,Adults,03-08-21,53.45,58.482309,48.420629,37.28,42.348367,32.205632,09:23:06  8 Mar 2021,16.17,2021-03-08 09:23:06,Mar. 08
1329,Joseph R. Biden Jr.,Adults,03-05-21,53.45,58.482309,48.420629,37.28,42.348367,32.205632,19:47:04  5 Mar 2021,16.17,2021-03-05 19:47:04,Mar. 05
1332,Joseph R. Biden Jr.,Adults,03-04-21,52.65,57.489133,47.800918,36.81,41.947133,31.663656,20:59:03  4 Mar 2021,15.84,2021-03-04 20:59:03,Mar. 04
1335,Joseph R. Biden Jr.,Adults,03-03-21,52.23,56.996359,47.469784,36.99,42.14653,31.829197,15:32:05  3 Mar 2021,15.25,2021-03-03 15:32:05,Mar. 03
1338,Joseph R. Biden Jr.,Adults,03-02-21,53.31,58.197813,48.423419,35.14,40.044786,30.233635,10:54:06  2 Mar 2021,18.17,2021-03-02 10:54:06,Mar. 02
1347,Joseph R. Biden Jr.,Adults,03-01-21,54.54,59.55029,49.53304,36.61,41.231066,31.98296,09:34:08  1 Mar 2021,17.93,2021-03-01 09:34:08,Mar. 01
1350,Joseph R. Biden Jr.,Adults,02-26-21,54.54,59.55029,49.53304,36.61,41.231066,31.98296,09:55:05 26 Feb 2021,17.93,2021-02-26 09:55:05,Feb. 26
1353,Joseph R. Biden Jr.,Adults,02-25-21,54.54,59.55029,49.53304,36.61,41.231066,31.98296,19:38:05 25 Feb 2021,17.93,2021-02-25 19:38:05,Feb. 25
1356,Joseph R. Biden Jr.,Adults,02-24-21,54.38,59.3562,49.41025,36.52,41.169481,31.874814,13:00:08 24 Feb 2021,17.86,2021-02-24 13:00:08,Feb. 24
1359,Joseph R. Biden Jr.,Adults,02-23-21,54.37,59.296495,49.45176,36.59,41.27335,31.899813,10:22:06 23 Feb 2021,17.79,2021-02-23 10:22:06,Feb. 23
1368,Joseph R. Biden Jr.,Adults,02-22-21,53.84,58.749003,48.934092,36.93,41.716085,32.137391,09:40:08 22 Feb 2021,16.91,2021-02-22 09:40:08,Feb. 22
1371,Joseph R. Biden Jr.,Adults,02-19-21,53.84,58.749003,48.934092,36.93,41.716085,32.137391,13:49:04 19 Feb 2021,16.91,2021-02-19 13:49:04,Feb. 19
1374,Joseph R. Biden Jr.,Adults,02-18-21,53.84,58.749003,48.934092,36.93,41.716085,32.137391,21:23:04 18 Feb 2021,16.91,2021-02-18 21:23:04,Feb. 18
1377,Joseph R. Biden Jr.,Adults,02-17-21,53.74,58.598349,48.885205,36.98,41.789753,32.165507,12:21:04 17 Feb 2021,16.76,2021-02-17 12:21:04,Feb. 17
1380,Joseph R. Biden Jr.,Adults,02-16-21,53.9,58.584921,49.212853,36.34,40.978745,31.694172,09:35:05 16 Feb 2021,17.56,2021-02-16 09:35:05,Feb. 16
1389,Joseph R. Biden Jr.,Adults,02-15-21,53.9,58.587013,49.21781,36.33,40.974981,31.692333,10:19:06 15 Feb 2021,17.57,2021-02-15 10:19:06,Feb. 15
1392,Joseph R. Biden Jr.,Adults,02-12-21,53.9,58.58614,49.216691,36.33,40.97549,31.692561,13:57:05 12 Feb 2021,17.57,2021-02-12 13:57:05,Feb. 12
1395,Joseph R. Biden Jr.,Adults,02-11-21,53.9,58.58614,49.216691,36.33,40.97549,31.692561,14:38:04 11 Feb 2021,17.57,2021-02-11 14:38:04,Feb. 11
1398,Joseph R. Biden Jr.,Adults,02-10-21,53.82,58.549399,49.090499,36.37,41.056421,31.692546,20:14:04 10 Feb 2021,17.45,2021-02-10 20:14:04,Feb. 10
1401,Joseph R. Biden Jr.,Adults,02-09-21,54.09,58.635704,49.540965,36.23,40.772461,31.677723,18:22:05  9 Feb 2021,17.86,2021-02-09 18:22:05,Feb. 09
1410,Joseph R. Biden Jr.,Adults,02-08-21,52.49,56.920352,48.064936,35.3,39.724025,30.868609,09:37:05  8 Feb 2021,17.2,2021-02-08 09:37:05,Feb. 08
1413,Joseph R. Biden Jr.,Adults,02-05-21,52.49,56.920352,48.064936,35.3,39.724025,30.868609,16:08:04  5 Feb 2021,17.2,2021-02-05 16:08:04,Feb. 05
1416,Joseph R. Biden Jr.,Adults,02-04-21,53.13,57.639487,48.618048,34.52,39.028841,30.007402,19:52:04  4 Feb 2021,18.61,2021-02-04 19:52:04,Feb. 04
1419,Joseph R. Biden Jr.,Adults,02-03-21,51.02,55.628124,46.415588,33.05,37.653302,28.440766,15:31:05  3 Feb 2021,17.97,2021-02-03 15:31:05,Feb. 03
1422,Joseph R. Biden Jr.,Adults,02-02-21,51.57,56.188902,46.943442,31.24,35.862219,26.616759,15:41:05  2 Feb 2021,20.33,2021-02-02 15:41:05,Feb. 02
1431,Joseph R. Biden Jr.,Adults,02-01-21,53.11,58.022936,48.199606,31.16,36.074232,26.250902,09:14:05  1 Feb 2021,21.95,2021-02-01 09:14:05,Feb. 01
1434,Joseph R. Biden Jr.,Adults,01-29-21,53.11,58.022936,48.199606,31.16,36.074232,26.250902,16:55:08 29 Jan 2021,21.95,2021-01-29 16:55:08,Jan. 29
1437,Joseph R. Biden Jr.,Adults,01-28-21,53.11,58.022936,48.199606,31.16,36.074232,26.250902,19:57:04 28 Jan 2021,21.95,2021-01-28 19:57:04,Jan. 28
1440,Joseph R. Biden Jr.,Adults,01-27-21,53.24,58.364386,48.123041,31.55,36.672473,26.431128,17:10:07 27 Jan 2021,21.69,2021-01-27 17:10:07,Jan. 27
1452,Joseph R. Biden Jr.,Adults,01-26-21,55.0,61.45853,48.54147,32.0,38.45853,25.54147,10:18:18 26 Jan 2021,23.0,2021-01-26 10:18:18,Jan. 26
