,geometry
583,POINT (-81.2452440614873 26.34056629830168)
584,POINT (-80.60404093981157 25.71881475351486)
585,POINT (-81.53407188823067 26.492490200932753)
586,POINT (-81.3691601556205 26.167477385217346)
587,POINT (-81.29770246889093 27.01677923792556)
588,POINT (-80.7264545612079 25.36781473283179)
589,POINT (-81.34204491840114 26.264024500087825)
590,POINT (-81.37429655353182 26.249831071713864)
591,POINT (-81.41500930803424 26.15338386325673)
592,POINT (-81.34461478103671 26.095969636821696)
593,POINT (-81.40001335639896 26.153886798663525)
594,POINT (-81.59340683625219 25.998256093602677)
595,POINT (-81.41789136128219 26.153547091221967)
596,POINT (-81.38150673114117 25.99745326374012)
597,POINT (-81.41983272212079 26.1536497998205)
598,POINT (-81.39001855591908 26.15399547629156)
599,POINT (-81.35585664076028 26.208631318212923)
600,POINT (-81.3157805205031 26.935040537395917)
601,POINT (-81.42841689451674 25.988725635897172)
602,POINT (-80.90399350393179 26.10305841150394)
603,POINT (-81.34555820252785 26.01873644237391)
604,POINT (-81.34233442655258 26.284195536752218)
605,POINT (-81.34512495225285 26.157297485741346)
606,POINT (-81.05966574404455 25.859505948456565)
607,POINT (-81.08281681113652 26.78446266075938)
